			Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV	UV	Hi	Heat	Cool	In	In	In	In	In	In Air	Temp	Hum		Leaf	Leaf	Leaf	Leaf	Wind	Wind	ISS	Arc.
	Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar	Rain	Rate	Rad.	Energy	Rad.	Index	Dose	UV	D-D	D-D	Temp	Hum	Dew	Heat	EMC	Density	2nd	2nd	ET	Wet 1	Wet 2	Temp 1	Temp 2	Samp	Tx	Recept	Int.
	--------	--------	-------	-------	------	-------	------	------	-------	------	-------	-----	-------	-------	-------	-------	--------	------	------	-------	--------	---------	------	-------	------	--------	--------	------	-------	-------	-------	------	---------	-------	-------	-------	-------	-------	--------	--------	------	------	--------	--------
41	23/09/2012	6:50a	20.5	20.5	20.3	49	9.4	0	---	0	0	---	20.5	19.7	19.7	18.2	1013.1	0	0	7	0.1	9	0	0	0	0	0.015	25.6	30	6.7	24.7	6.05	1.1708	---	---	0	---	---	---	---	226	1	99.1	10
42	23/09/2012	7:00a	20.8	20.8	20.5	48	9.4	0	---	0	0	---	20.8	19.8	19.8	18.4	1013.3	0	0	15	0.22	19	0	0	0	0	0.017	25.6	30	6.7	24.7	6.05	1.1709	---	---	0.03	---	---	---	---	227	1	99.6	10
43	23/09/2012	7:10a	20.9	20.9	20.8	48	9.5	0	---	0	0	---	20.9	19.9	19.9	18.7	1013.3	0	0	24	0.34	26	0	0	0	0	0.018	25.6	30	6.7	24.7	6.05	1.171	---	---	0	---	---	---	---	226	1	99.1	10
44	23/09/2012	7:20a	20.7	20.9	20.7	48	9.3	0	---	0	0	---	20.7	19.8	19.8	19.6	1013.5	0	0	34	0.49	42	0	0	0	0	0.017	25.4	30	6.6	24.6	6.05	1.1717	---	---	0	---	---	---	---	225	1	98.7	10
45	23/09/2012	7:30a	21	21	20.7	47	9.3	0	---	0	0	---	21	19.9	19.9	20.1	1013.6	0	0	51	0.73	76	0	0	0	0	0.019	25.4	30	6.6	24.6	6.05	1.1718	---	---	0	---	---	---	---	223	1	97.8	10
46	23/09/2012	7:40a	21.2	21.2	21	47	9.4	0	---	0	0	---	21.2	20.1	20.1	21.1	1013.6	0	0	93	1.33	141	0	0	0	0	0.02	25.4	30	6.6	24.6	6.05	1.1718	---	---	0	---	---	---	---	223	1	97.8	10
47	23/09/2012	7:50a	22.4	22.4	21.2	45	9.9	0	W	0	0.4	W	22.4	21.7	21.7	23.9	1013.7	0	0	149	2.14	216	0.2	0.01	0.5	0	0.028	25.4	30	6.6	24.6	6.05	1.1719	---	---	0	---	---	---	---	225	1	98.7	10
48	23/09/2012	8:00a	23.3	23.3	22.4	42	9.6	0	W	0	0.9	W	23.3	22.8	22.8	26.2	1013.8	0	0	216	3.1	255	0.6	0.04	0.7	0	0.034	25.6	30	6.7	24.7	6.05	1.1715	---	---	0.08	---	---	---	---	226	1	99.1	10
49	23/09/2012	8:10a	23.7	23.7	23.3	40	9.3	0	W	0	0.4	W	23.7	23.3	23.3	27.1	1013.9	0	0	256	3.67	299	0.8	0.06	0.9	0	0.037	25.6	30	6.7	24.7	6.05	1.1716	---	---	0	---	---	---	---	227	1	99.6	10
50	23/09/2012	8:20a	24.2	24.2	23.7	38	9	0	W	0	0.4	W	24.2	23.7	23.7	27.7	1013.9	0	0	277	3.97	315	1	0.07	1.2	0	0.041	25.6	30	6.7	24.7	6.05	1.1714	---	---	0	---	---	---	---	228	1	100	10
51	23/09/2012	8:30a	25.6	25.6	24.2	33	8.1	0.4	SSE	0.27	1.8	SSE	25.6	24.8	24.8	29.4	1013.9	0	0	344	4.93	366	1.3	0.09	1.4	0	0.05	25.6	30	6.7	24.7	6.05	1.1714	---	---	0	---	---	---	---	229	1	100	10
52	23/09/2012	8:40a	26	26	25.6	33	8.5	0.9	SSE	0.54	1.8	SSE	26	25.2	25.2	29.9	1014	0	0	362	5.19	388	1.4	0.1	1.5	0	0.053	25.7	30	6.8	24.8	6.05	1.1709	---	---	0	---	---	---	---	227	1	99.6	10
53	23/09/2012	8:50a	26.3	26.3	25.8	32	8.3	0.4	SSE	0.27	1.3	SSE	26.3	25.4	25.4	30.4	1014	0	0	424	6.08	454	1.6	0.11	1.8	0	0.055	25.8	30	6.9	24.9	6.05	1.1705	---	---	0	---	---	---	---	227	1	99.6	10
54	23/09/2012	9:00a	27.2	27.2	26.3	31	8.6	0.4	SSE	0.27	1.3	SSE	27.2	26.1	26.1	31.1	1014	0	0	407	5.83	480	1.8	0.13	1.9	0	0.061	26.1	30	7.1	25.1	6.05	1.1695	---	---	0.23	---	---	---	---	223	1	97.8	10
55	23/09/2012	9:10a	27.3	27.3	27.1	29	7.7	0	SE	0	0.9	SE	27.3	26.1	26.1	30.4	1014	0	0	357	5.12	485	1.9	0.14	2.2	0	0.062	26.2	30	7.2	25.2	6.05	1.169	---	---	0	---	---	---	---	229	1	100	10
56	23/09/2012	9:20a	28.2	28.3	27.3	26	6.8	0.4	SW	0.27	1.3	S	28.2	26.8	26.8	32	1014	0	0	466	6.68	534	2.3	0.16	2.5	0	0.068	26.3	30	7.3	25.2	6.05	1.1685	---	---	0	---	---	---	---	228	1	100	10
57	23/09/2012	9:30a	29.8	29.8	28.2	24	7.1	0	SW	0	1.3	SSE	29.8	28.3	28.3	33.8	1014	0	0	536	7.68	554	2.8	0.2	2.9	0	0.08	26.3	30	7.4	25.3	6.05	1.1681	---	---	0	---	---	---	---	231	1	100	10
58	23/09/2012	9:40a	30.1	30.1	29.7	24	7.3	0.4	SSE	0.27	1.3	SSE	30.1	28.6	28.6	34.1	1013.9	0	0	585	8.39	601	3.1	0.22	3.2	0	0.081	26.6	30	7.6	25.4	6.05	1.167	---	---	0	---	---	---	---	224	1	98.2	10
59	23/09/2012	9:50a	30.6	30.7	30	23	7.1	0.4	S	0.27	1.3	SSW	30.6	28.9	28.9	34.5	1013.9	0	0	590	8.46	605	3.4	0.24	3.5	0	0.085	26.7	30	7.7	25.6	6.05	1.1665	---	---	0	---	---	---	---	228	1	100	10
60	23/09/2012	10:00a	31.4	31.4	30.7	22	7.1	0.4	SSE	0.27	1.3	SSE	31.4	29.5	29.5	35.1	1013.8	0	0	608	8.72	617	3.7	0.26	3.8	0	0.091	26.9	29	7.3	25.7	5.85	1.1658	---	---	0.38	---	---	---	---	224	1	98.2	10
61	23/09/2012	10:10a	32.6	32.6	31.4	21	7.4	0.4	SSE	0.27	1.8	SW	32.6	30.8	30.8	36.4	1013.7	0	0	632	9.06	643	3.9	0.28	4.1	0	0.099	27	29	7.4	25.8	5.85	1.1651	---	---	0	---	---	---	---	223	1	97.8	10
62	23/09/2012	10:20a	33.2	33.4	32.5	20	7.2	0	SE	0	1.8	SE	33.2	31.3	31.3	37	1013.7	0	0	656	9.4	666	4.3	0.31	4.4	0	0.103	27.2	29	7.6	26	5.85	1.1643	---	---	0	---	---	---	---	222	1	97.4	10
63	23/09/2012	10:30a	34.4	34.4	33.2	18	6.7	0	SE	0	0.4	SE	34.4	32.5	32.5	38.2	1013.6	0	0	679	9.73	691	4.6	0.33	4.7	0	0.112	27.4	29	7.8	26.2	5.85	1.1632	---	---	0	---	---	---	---	223	1	97.8	10
64	23/09/2012	10:40a	33.8	34.4	33.7	18	6.2	0.4	SE	0.27	1.3	SE	33.8	31.9	31.9	37.6	1013.4	0	0	717	10.28	747	5	0.36	5.2	0	0.108	27.6	29	8	26.4	5.85	1.1621	---	---	0	---	---	---	---	226	1	99.1	10
65	23/09/2012	10:50a	35.1	35.1	33.8	17	6.4	0	SE	0	1.3	SE	35.1	33.1	33.1	38.8	1013.4	0	0	745	10.68	749	5.3	0.38	5.4	0	0.116	27.8	29	8.2	26.7	5.85	1.161	---	---	0	---	---	---	---	225	1	98.7	10
66	23/09/2012	11:00a	35.8	35.8	35.1	17	6.9	0.4	W	0.27	1.8	W	35.8	33.9	33.9	39.7	1013.3	0	0	740	10.61	745	5.5	0.39	5.6	0	0.121	28	28	7.8	26.8	5.7	1.1605	---	---	0.51	---	---	---	---	226	1	99.1	10
67	23/09/2012	11:10a	36.6	36.6	35.8	15	5.8	0.9	S	0.54	2.2	S	36.6	34.6	34.6	40.3	1013.2	0	0	756	10.84	765	5.7	0.41	5.8	0	0.127	28.1	28	7.9	26.9	5.7	1.16	---	---	0	---	---	---	---	230	1	100	10
68	23/09/2012	11:20a	37.5	37.5	36.6	14	5.5	1.3	NE	0.8	3.6	NNE	37.5	35.4	35.4	41.2	1013.1	0	0	745	10.68	786	5.9	0.42	6	0	0.133	28.3	28	8.1	27.1	5.69	1.1588	---	---	0	---	---	---	---	228	1	100	10
69	23/09/2012	11:30a	36.9	37.5	36.9	14	5	2.2	NE	1.34	4.5	NW	36.9	34.8	34.8	40.5	1013.1	0	0	782	11.21	803	6	0.43	6.2	0	0.129	28.6	28	8.3	27.3	5.68	1.1578	---	---	0	---	---	---	---	222	1	97.4	10
70	23/09/2012	11:40a	36.9	37.1	36.8	14	5	2.7	NNW	1.61	5.8	NNE	36.9	34.7	34.7	40.5	1013	0	0	797	11.43	821	6.3	0.45	6.4	0	0.129	28.7	28	8.4	27.5	5.68	1.1571	---	---	0	---	---	---	---	225	1	98.7	10
71	23/09/2012	11:50a	36.9	36.9	36.6	13	4	2.2	NNW	1.34	4.5	NNE	36.9	34.6	34.6	40.3	1012.9	0	0	809	11.6	814	6.4	0.46	6.5	0	0.129	28.4	28	8.2	27.2	5.69	1.158	---	---	0	---	---	---	---	227	1	99.6	10
72	23/09/2012	12:00p	37.5	37.7	37	13	4.4	2.2	NNW	1.34	4.5	N	37.5	35.2	35.2	40.9	1012.7	0	0	817	11.71	821	6.6	0.47	6.6	0	0.133	28.6	28	8.3	27.3	5.68	1.1574	---	---	0.69	---	---	---	---	221	1	96.9	10
73	23/09/2012	12:10p	37.6	37.8	37.5	12	3.3	2.2	NNW	1.34	4.9	NW	37.6	35	35	40.7	1012.7	0	0	822	11.78	831	6.7	0.48	6.8	0	0.133	28.8	27	7.9	27.6	5.55	1.1567	---	---	0	---	---	---	---	224	1	98.2	10
74	23/09/2012	12:20p	38.2	38.2	37.4	12	3.8	2.2	NNW	1.34	4.9	NNW	38.2	35.6	35.6	41.3	1012.5	0	0	826	11.84	830	6.7	0.48	6.8	0	0.138	29	27	8.1	27.8	5.55	1.1555	---	---	0	---	---	---	---	229	1	100	10
75	23/09/2012	12:30p	37.9	38.1	37.8	11	2.3	3.1	NW	1.88	5.8	NNW	37.9	35.1	35.1	40.7	1012.4	0	0	831	11.91	838	6.8	0.49	6.9	0	0.136	28.7	27	7.8	27.4	5.55	1.1569	---	---	0	---	---	---	---	227	1	99.6	10
76	23/09/2012	12:40p	38.1	38.2	37.9	12	3.7	3.1	NW	1.88	5.4	NNE	38.1	35.5	35.5	41.2	1012.3	0	0	826	11.84	830	6.7	0.48	6.7	0	0.137	28.8	27	7.9	27.6	5.55	1.1563	---	---	0	---	---	---	---	230	1	100	10
77	23/09/2012	12:50p	38.2	38.2	37.9	12	3.8	3.1	NW	1.88	6.3	WNW	38.2	35.7	35.7	41.3	1012.2	0	0	837	12	846	6.8	0.49	6.8	0	0.138	29.1	26	7.6	27.8	5.36	1.1552	---	---	0	---	---	---	---	229	1	100	10
78	23/09/2012	1:00p	38.4	38.4	38.2	11	2.7	2.7	WNW	1.61	5.4	WNW	38.4	35.6	35.6	41.2	1012.1	0	0	840	12.04	846	6.7	0.48	6.8	0	0.139	29.2	25	7.2	27.8	5.26	1.155	---	---	0.79	---	---	---	---	232	1	100	10
79	23/09/2012	1:10p	38.4	38.6	38.3	13	5.2	2.7	NW	1.61	7.2	WNW	38.4	36.1	36.1	41.9	1012	0	0	836	11.98	844	6.6	0.47	6.7	0	0.14	28.9	26	7.5	27.6	5.37	1.1559	---	---	0	---	---	---	---	232	1	100	10
80	23/09/2012	1:20p	38.2	38.5	38.1	14	6	4	WNW	2.41	6.3	NW	38.2	36.1	36.1	41.2	1011.8	0	0	847	12.14	863	6.4	0.46	6.6	0	0.138	29.1	26	7.6	27.8	5.36	1.1547	---	---	0	---	---	---	---	230	1	100	10
81	23/09/2012	1:30p	38.3	38.3	38	14	6.1	4	WNW	2.41	6.3	WNW	38.3	36.2	36.2	40.8	1011.7	0	0	907	13	919	6.4	0.46	6.6	0	0.139	29.3	26	7.8	28	5.35	1.1536	---	---	0	---	---	---	---	230	1	100	10
